timestamp_ms,inside_temp_C,inside_hum_pct,pressure_hPa,outside_temp_C,outside_hum_pct,light_lux,wind_speed_ms,wind_speed_kmh,wind_beaufort,wind_dir_deg,wind_dir_bearing,battery_pct,solar_V,solar_charging
27000000,24.8,49.2,948.7,20.2,58.9,0,0.5,1.7,1,279.3,W,55,0.51,0
30927272,26.4,45.4,948.6,21.3,55.3,8513,1.3,4.5,1,297.5,WNW,59,2.35,1
34854545,29.7,36.1,948.6,23.2,47.8,16059,1.7,6.0,2,279.6,W,62,3.82,1
38781818,30.9,33.5,948.5,25.8,44.9,22632,0.8,3.0,1,289.7,WNW,72,5.16,1
42709090,34.5,36.9,948.6,28.6,43.9,26835,2.2,7.9,2,286.6,WNW,70,6.03,1
46636363,36.5,36.6,949.0,29.9,46.5,29550,1.5,5.5,1,278.6,W,76,6.47,1
50563636,35.6,37.3,949.0,30.7,46.2,30184,1.9,7.0,2,317.1,NW,77,6.45,1
54490909,36.1,40.4,949.0,29.6,49.4,26855,1.8,6.6,2,285.6,WNW,73,6.04,1
58418181,34.1,41.6,948.9,28.5,48.4,22419,1.5,5.2,1,319.9,NW,70,5.11,1
62345454,32.2,47.3,948.5,27.3,53.4,16475,1.7,6.1,2,309.0,NW,66,3.76,1
66272727,32.1,51.4,948.7,25.1,56.5,8923,1.6,5.7,1,309.1,NW,61,2.34,1
70200000,29.8,43.0,948.6,24.4,53.0,0,1.0,3.8,1,323.6,NW,58,0.54,0
113400000,25.3,56.8,945.2,18.7,62.9,139,7.4,26.8,4,242.0,WSW,58,0.68,0
117327272,26.3,45.6,945.3,20.3,57.5,8064,8.5,30.5,5,227.0,SW,58,2.37,1
121254545,26.7,47.2,945.0,22.0,57.6,15788,9.2,33.0,5,238.8,WSW,66,3.78,1
125181818,29.0,45.1,945.4,23.0,55.0,23101,10.7,38.4,5,234.9,SW,72,5.16,1
129109090,30.2,40.7,945.2,24.4,49.8,27014,10.0,35.9,5,226.0,SW,70,6.10,1
133036363,30.1,43.3,945.4,25.5,50.2,29525,10.5,37.9,5,242.0,WSW,76,6.63,1
136963636,32.2,42.0,945.4,26.6,47.6,30002,12.0,43.1,6,236.2,SW,74,6.61,1
140890909,30.8,42.3,945.1,24.7,52.9,26850,11.4,41.0,6,224.6,SW,74,6.05,1
144818181,29.3,41.4,945.3,24.1,52.5,23096,10.4,37.3,5,217.5,SW,71,5.20,1
148745454,30.7,48.9,945.2,23.9,55.4,15886,11.0,39.6,6,217.9,SW,65,3.74,1
152672727,28.7,50.1,945.3,21.9,60.2,8237,10.6,38.0,5,248.1,WSW,60,2.22,1
156600000,27.6,58.6,945.1,20.7,64.0,42,9.9,35.5,5,240.1,WSW,58,0.61,0
199800000,33.1,32.5,946.9,27.3,43.5,0,0.9,3.1,1,202.1,SSW,56,0.55,0
203727272,36.0,32.3,946.9,30.0,43.8,9381,0.3,1.1,1,190.8,S,58,2.24,1
207654545,37.2,38.9,947.3,31.0,44.0,18270,0.5,1.8,1,183.1,S,62,3.76,1
211581818,38.2,33.4,947.1,33.0,41.0,25321,1.5,5.2,1,196.7,SSW,72,5.10,1
215509090,42.6,25.0,947.1,36.0,36.5,30186,0.9,3.4,1,198.9,SSW,72,5.98,1
219436363,42.3,30.4,947.5,36.5,36.9,32769,0.7,2.4,1,168.2,SSE,74,6.49,1
223363636,42.8,24.1,947.2,38.2,31.5,32993,1.3,4.6,1,204.0,SSW,72,6.59,1
227290909,42.3,27.8,947.4,36.7,39.1,29593,0.1,0.5,0,196.7,SSW,74,6.07,1
231218181,40.2,36.4,947.2,35.6,41.7,25373,0.6,2.3,1,189.1,S,72,5.06,1
235145454,42.0,26.2,947.4,35.3,37.7,17962,0.6,2.2,1,203.8,SSW,68,3.78,1
239072727,38.7,33.2,947.3,33.8,42.9,9580,1.4,4.9,1,167.4,SSE,58,2.35,1
243000000,39.1,41.3,946.9,32.4,49.5,0,1.2,4.2,1,194.8,SSW,53,0.54,0
286200000,22.8,76.7,949.0,17.3,84.2,0,1.0,3.7,1,99.0,E,58,0.61,0
290127272,23.4,75.5,948.9,18.6,82.3,693,2.4,8.7,2,86.7,E,62,2.35,1
294054545,25.7,67.7,949.2,18.7,73.0,2346,1.3,4.5,1,91.0,E,68,3.85,1
297981818,26.4,59.8,949.2,20.1,69.5,2585,2.4,8.8,2,80.7,E,73,5.06,1
301909090,27.0,63.8,949.2,21.3,72.7,3101,2.7,9.6,2,98.2,E,73,6.09,1
305836363,28.2,59.1,949.4,22.2,66.1,3611,2.3,8.4,2,94.0,E,76,6.50,1
309763636,27.8,63.6,949.5,21.6,73.8,3857,2.7,9.8,2,79.2,E,76,6.57,1
313690909,27.5,62.5,949.1,20.9,68.9,3447,3.0,10.7,2,77.2,ENE,73,6.08,1
317618181,26.7,67.0,949.2,21.1,74.7,2796,3.0,11.0,2,72.4,ENE,72,5.04,1
321545454,26.9,61.2,949.2,20.5,72.9,1871,1.6,5.7,1,67.5,ENE,63,3.93,1
325472727,23.8,71.9,949.3,18.9,79.1,1045,2.0,7.3,2,87.1,E,63,2.33,1
329400000,25.6,75.6,948.9,19.0,83.9,397,2.0,7.3,2,77.4,ENE,57,0.56,0
372600000,22.2,62.1,949.9,16.4,68.7,0,0.7,2.4,1,339.7,NNW,52,0.53,0
376527272,23.8,54.1,950.1,17.6,62.9,1447,1.7,6.1,2,305.3,NW,60,2.27,1
380454545,27.3,52.8,950.5,20.4,61.1,6795,0.8,2.9,1,309.9,NW,65,3.91,1
384381818,28.3,52.2,950.1,22.7,58.8,12928,2.3,8.2,2,316.8,NW,67,5.11,1
388309090,30.8,47.6,950.4,24.3,59.4,20559,2.5,9.0,2,340.3,NNW,74,6.07,1
392236363,31.4,43.9,950.2,25.2,51.5,27092,1.8,6.4,2,311.3,NW,77,6.61,1
396163636,33.2,44.6,950.1,26.3,54.9,30030,2.3,8.3,2,342.6,NNW,72,6.57,1
400090909,32.5,48.5,950.2,26.4,53.7,27739,2.7,9.7,2,301.3,WNW,75,5.98,1
404018181,31.6,47.0,950.4,25.9,58.8,22541,1.7,6.2,2,333.9,NNW,68,5.23,1
