timestamp_ms,inside_temp_C,inside_hum_pct,pressure_hPa,outside_temp_C,outside_hum_pct,light_lux,wind_speed_ms,wind_speed_kmh,wind_beaufort,wind_dir_deg,wind_dir_bearing,battery_pct,solar_V,solar_charging
3071,27.0,32.9,952.3,26.9,30.5,153,0.0,0.0,0,355.8,N,47,3.80,1
6276,27.0,33.1,952.3,26.9,30.6,107,0.0,0.3,0,292.3,WNW,46,3.84,1
9480,27.0,33.6,952.3,26.9,30.7,80,0.0,0.3,0,134.5,SE,49,3.45,1
12684,27.0,33.4,952.3,26.9,30.8,12,0.1,0.6,0,117.8,ESE,45,2.20,1
15888,27.0,33.8,952.3,26.9,30.8,11,0.0,0.3,0,187.3,S,48,2.56,1
19094,27.0,33.7,952.5,26.9,30.8,50,0.2,0.8,1,320.8,NW,43,3.82,1
22299,27.0,34.0,952.6,26.9,30.7,72,0.1,0.6,0,274.0,W,48,3.79,1
25504,27.0,33.9,952.6,26.9,30.6,186,0.5,2.0,1,179.4,S,46,3.91,1
28711,27.0,33.8,952.6,26.9,30.5,1771,0.7,2.8,1,257.0,WSW,47,4.12,1
31916,27.0,34.3,952.6,26.9,30.3,24907,0.4,1.7,1,153.1,SSE,53,4.16,1
35121,27.0,34.0,952.6,26.9,30.1,22344,0.6,2.2,1,126.8,SE,55,4.20,1
38326,27.0,34.2,952.6,26.9,30.2,21813,0.5,2.0,1,137.2,SE,53,4.18,1
41531,27.0,33.7,952.6,26.9,30.4,2257,0.4,1.7,1,147.2,SSE,50,4.17,1
44738,27.0,33.8,952.6,26.9,30.5,3631,0.6,2.2,1,291.2,WNW,51,4.12,1
47942,27.0,34.2,952.7,26.9,30.6,2405,0.3,1.4,1,108.1,ESE,47,4.12,1
51147,27.0,34.3,952.6,26.9,30.6,23803,0.4,1.7,1,73.3,ENE,54,4.17,1
54352,27.0,34.2,952.6,26.9,30.6,16591,0.0,0.3,0,218.0,SW,47,4.12,1
57557,27.0,34.2,952.6,26.9,30.6,22266,0.1,0.6,0,343.8,NNW,54,4.18,1
60762,27.0,34.3,952.6,26.9,30.6,21932,0.4,1.7,1,28.4,NNE,55,4.18,1
